A1_Serial_Number,A2_Arabic_Name,A3_Transliteration_ALA_LC,A4_English_Meaning,A5_Arabic_Root,A7_Tier,D1_Jalal_Jamal_Kamal,H1_JJK_5Class_v2_1,C4_Homonym_Flag,F1_Include_in_Network
1,اللَّه,Allāh,Allah (The God),إله,Tier 1,Kamāl,Disputed,No,Yes
2,الرَّحْمَٰن,Al-Raḥmān,The Most Gracious / The Universally Merciful,رحم,Tier 1,Jamāl,Jamāl,No,Yes
3,الرَّحِيمِ,Al-Raḥīm,The Most Merciful / The Especially Merciful,رحم,Tier 1,Jamāl,Jamāl,No,Yes
4,الْمَلِك,Al-Malik,The Sovereign / The King,ملك,Tier 1,Jalāl,Jalāl,No,Yes
5,الْقُدُّوس,Al-Quddūs,The Most Holy / The Pure,قدس,Tier 1,Jalāl,Jalāl,No,Yes
6,السَّلَام,Al-Salām,The Source of Peace / The Flawless,سلم,Tier 1,Jamāl,Jamāl,No,Yes
7,الْمُؤْمِن,Al-Mu'min,The Guardian of Faith / The Granter of Security,أمن,Tier 1,Jamāl,Jamāl,No,Yes
8,الْمُهَيْمِن,Al-Muhaymin,The Overseer / The Watchful Guardian,هيمن,Tier 1,Jalāl,Jalāl,No,Yes
9,الْعَزِيز,Al-'Azīz,The Almighty / The Invincible,عزز,Tier 1,Jalāl,Jalāl,Yes,Yes
10,الْجَبَّار,Al-Jabbār,The Compeller / The All-Powerful,جبر,Tier 1,Jalāl,Jalāl,No,Yes
11,الْمُتَكَبِّر,Al-Mutakabbir,The Supreme / The Majestic,كبر,Tier 1,Jalāl,Jalāl,No,Yes
12,الْخَالِق,Al-Khāliq,The Creator,خلق,Tier 1,Jalāl,Jalāl,No,Yes
13,الْبَارِئ,Al-Bāri',The Originator / The Evolver,برأ,Tier 1,Jalāl,Jalāl,No,Yes
14,الْمُصَوِّر,Al-Muṣawwir,The Fashioner / The Shaper of Forms,صور,Tier 1,Jalāl,Jalāl,No,Yes
15,الْغَفَّار,Al-Ghaffār,The All-Forgiving / The Repeatedly Forgiving,غفر,Tier 1,Jamāl,Jamāl,No,Yes
16,الْقَهَّار,Al-Qahhār,The Subduer / The Overwhelming,قهر,Tier 1,Jalāl,Jalāl,No,Yes
17,الْوَهَّاب,Al-Wahhāb,The Bestower / The Ever-Giving,وهب,Tier 1,Jamāl,Jamāl,No,Yes
18,الرَّزَّاق,Al-Razzāq,The Provider / The Sustainer,رزق,Tier 1,Jamāl,Jamāl,No,Yes
19,الْفَتَّاح,Al-Fattāḥ,The Opener / The Granter of Victory,فتح,Tier 1,Jamāl,Jamāl,No,Yes
20,الْعَلِيم,Al-'Alīm,The All-Knowing,علم,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
21,الْقَابِض,Al-Qābiḍ,The Withholder / The Constrictor,قبض,Tier 1,Jalāl,Jalāl,No,Yes
22,الْبَاسِط,Al-Bāsiṭ,The Extender / The Expander,بسط,Tier 1,Jamāl,Jamāl,No,Yes
23,الْخَافِض,Al-Khāfiḍ,The Abaser / The One Who Lowers,خفض,Tier 1,Jalāl,Jalāl,No,Yes
24,الرَّافِع,Al-Rāfi',The Exalter / The One Who Raises,رفع,Tier 1,Jamāl,Jamāl,No,Yes
25,الْمُعِز,Al-Mu'izz,The Bestower of Honor,عزز,Tier 1,Jamāl,Jamāl,No,Yes
26,الْمُذِل,Al-Mudhill,The Humiliator / The Abaser,ذل,Tier 1,Jalāl,Jalāl,No,Yes
27,السَّمِيع,Al-Samī',The All-Hearing,سمع,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
28,الْبَصِير,Al-Baṣīr,The All-Seeing,بصر,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
29,الْحَكَم,Al-Ḥakam,The Judge / The Arbitrator,حكم,Tier 1,Jalāl,Jalāl,No,Yes
30,الْعَدْل,Al-'Adl,The Just / Justice Itself,عدل,Tier 1,Jalāl,Jalāl,No,Yes
31,اللَّطِيف,Al-Laṭīf,The Subtle / The Gentle / The Most Refined,لطف,Tier 1,Jamāl,Jamāl,No,Yes
32,الْخَبِير,Al-Khabīr,The All-Aware / The Fully Informed,خبر,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
33,الْحَلِيم,Al-Ḥalīm,The Forbearing / The Clement,حلم,Tier 1,Jamāl,Jamāl,No,Yes
34,الْعَظِيم,Al-'Aẓīm,The Magnificent / The Most Great,عظم,Tier 1,Jalāl,Jalāl,No,Yes
35,الْغَفُور,Al-Ghafūr,The Oft-Forgiving,غفر,Tier 1,Jamāl,Jamāl,No,Yes
36,الشَّكُور,Al-Shakūr,The Most Appreciative / The Grateful,شكر,Tier 1,Jamāl,Jamāl,No,Yes
37,الْعَلِي,Al-'Alī,The Most High / The Exalted,علو,Tier 1,Jalāl,Jalāl,No,Yes
38,الْكَبِير,Al-Kabīr,The Most Great,كبر,Tier 1,Jalāl,Jalāl,No,Yes
39,الْحَفِيظ,Al-Ḥafīẓ,The Preserver / The Guardian,حفظ,Tier 1,Jamāl,Jamāl,No,Yes
40,الْمُقِيت,Al-Muqīt,The Sustainer / The Nourisher,قوت,Tier 1,Jamāl,Jamāl,No,Yes
41,الْحَسِيب,Al-Ḥasīb,The Reckoner / The Sufficient,حسب,Tier 1,Jalāl,Jalāl,No,Yes
42,الْجَلِيل,Al-Jalīl,The Majestic / The Sublime,جلل,Tier 1,Jalāl,Jalāl,Yes,Yes
43,الْكَرِيم,Al-Karīm,The Most Generous / The Noble,كرم,Tier 1,Jamāl,Jamāl,No,Yes
44,الرَّقِيب,Al-Raqīb,The Watchful / The Ever-Vigilant,رقب,Tier 1,Jalāl,Jalāl,No,Yes
45,الْمُجِيب,Al-Mujīb,The Responsive / The Answerer of Prayers,جوب,Tier 1,Jamāl,Jamāl,No,Yes
46,الْوَاسِع,Al-Wāsi',The All-Encompassing / The Vast,وسع,Tier 1,Jamāl,Jamāl,No,Yes
47,الْحَكِيم,Al-Ḥakīm,The All-Wise,حكم,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
48,الْوَدُود,Al-Wadūd,The All-Loving / The Affectionate,ودد,Tier 1,Jamāl,Jamāl,No,Yes
49,الْمَجِيد,Al-Majīd,The Most Glorious / The Illustrious,مجد,Tier 1,Jalāl,Jalāl,No,Yes
50,الْبَاعِث,Al-Bā'ith,The Resurrector / The Raiser of the Dead,بعث,Tier 1,Jalāl,Jalāl,No,Yes
51,الشَّهِيد,Al-Shahīd,The Witness / The All-Present,شهد,Tier 1,Kamāl,Kamāl-epistemic,No,Yes
52,الْحَق,Al-Ḥaqq,The Truth / The Reality,حقق,Tier 1,Kamāl,Kamāl-ontological,No,Yes
