serial,transliteration,jjk_v21,weighted_degree,degree_bootstrap_mean,degree_bootstrap_cov,degree_ci_lower,degree_ci_upper,stability_label,betweenness_centrality,closeness_centrality,dyadic_entropy_bits,unique_partners
1,Allāh,Disputed,1876,1848.383,0.3719,809,3421,Unstable,0.120621,0.241539,4.0228,62
2,Al-Raḥmān,Jamāl,28,27.943,0.4196,8,54,Unstable,0.00381,0.211645,2.8235,10
3,Al-Raḥīm,Jamāl,175,177.059,0.5289,31,384,Unstable,0.048589,0.23235,2.2992,12
4,Al-Malik,Jalāl,82,81.946,0.5311,19,182,Unstable,0.021159,0.23235,2.6509,17
5,Al-Quddūs,Jalāl,12,11.992,0.3872,4,22,Unstable,0.001368,0.213762,2.8554,8
6,Al-Salām,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
7,Al-Mu'min,Jamāl,189,189.734,0.6383,30,468,Unstable,0.057947,0.250014,2.2153,25
8,Al-Muhaymin,Jalāl,10,9.963,0.3904,3,19,Unstable,0.007301,0.23362,2.8464,8
9,Al-'Azīz,Jalāl,174,175.962,0.4775,45,366,Unstable,0.052551,0.257544,2.8508,23
10,Al-Jabbār,Jalāl,10,9.972,0.371,4,18,Unstable,0.014878,0.250014,2.9219,8
11,Al-Mutakabbir,Jalāl,12,12.048,0.388,4,22,Unstable,0.00177,0.223834,2.8554,8
12,Al-Khāliq,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
13,Al-Bāri',Jalāl,6,6.026,0.4685,1,12,Unstable,0.025496,0.219243,2.2516,5
14,Al-Muṣawwir,Jalāl,2,1.945,0.7046,0,5,Unstable,0.0,0.186692,1.0,2
15,Al-Ghaffār,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
16,Al-Qahhār,Jalāl,7,6.997,0.8747,0,21,Unstable,0.0,0.17101,0.5917,2
17,Al-Wahhāb,Jamāl,1,0.999,1.0027,0,3,Unstable,0.0,0.184278,0.0,1
18,Al-Razzāq,Jamāl,2,1.958,0.7203,0,5,Unstable,0.0,0.176663,1.0,2
19,Al-Fattāḥ,Jamāl,2,2.002,0.7045,0,5,Unstable,0.001465,0.197928,1.0,2
20,Al-'Alīm,Kamāl-epistemic,259,259.603,0.6144,45,632,Unstable,0.048759,0.240182,2.1502,19
21,Al-Qābiḍ,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
22,Al-Bāsiṭ,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
23,Al-Khāfiḍ,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
24,Al-Rāfi',Jamāl,1,0.973,1.0208,0,3,Unstable,0.0,0.175936,0.0,1
25,Al-Mu'izz,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
26,Al-Mudhill,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
27,Al-Samī',Kamāl-epistemic,90,89.489,0.573,9,206,Unstable,0.002538,0.190011,1.9122,7
28,Al-Baṣīr,Kamāl-epistemic,58,58.197,0.6662,6,144,Unstable,0.007623,0.213762,1.7276,9
29,Al-Ḥakam,Jalāl,21,21.057,0.6381,4,52,Unstable,0.014604,0.23884,2.0063,8
30,Al-'Adl,Jalāl,19,19.275,0.5564,4,45,Unstable,0.018934,0.23235,2.3943,9
31,Al-Laṭīf,Jamāl,15,15.054,0.5302,2,33,Unstable,0.005218,0.223834,2.0989,6
32,Al-Khabīr,Kamāl-epistemic,51,50.901,0.6634,7,127,Unstable,0.000182,0.198848,1.8374,8
33,Al-Ḥalīm,Jamāl,22,22.225,0.6298,2,54,Unstable,0.010127,0.217017,1.8183,6
34,Al-'Aẓīm,Jalāl,43,41.957,0.8303,0,120,Unstable,0.0,0.18039,0.7943,3
35,Al-Ghafūr,Jamāl,138,139.163,0.6413,9,341,Unstable,0.009301,0.159524,1.6299,8
36,Al-Shakūr,Jamāl,10,9.949,0.6404,1,25,Unstable,0.002973,0.190011,1.571,4
37,Al-'Alī,Jalāl,982,997.469,0.6533,223,2401,Unstable,0.032977,0.241539,2.5178,43
38,Al-Kabīr,Jalāl,20,19.677,0.6799,0,49,Unstable,0.0,0.175936,1.2345,3
39,Al-Ḥafīẓ,Jamāl,9,9.091,0.7818,0,25,Unstable,0.016891,0.211645,0.9864,3
40,Al-Muqīt,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
41,Al-Ḥasīb,Jalāl,2,1.983,0.7084,0,5,Unstable,0.005509,0.20957,1.0,2
42,Al-Jalīl,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
43,Al-Karīm,Jamāl,12,11.948,0.4372,3,23,Unstable,0.004754,0.220373,2.585,7
44,Al-Raqīb,Jalāl,4,4.011,0.7939,0,11,Unstable,0.0,0.146915,0.8113,2
45,Al-Mujīb,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
46,Al-Wāsi',Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
47,Al-Ḥakīm,Kamāl-epistemic,170,169.65,0.5283,25,369,Unstable,0.016706,0.231094,2.2036,13
48,Al-Wadūd,Jamāl,2,2.015,0.707,0,5,Unstable,0.005807,0.175215,1.0,2
49,Al-Majīd,Jalāl,3,2.942,0.586,0,7,Unstable,0.017236,0.223834,1.585,3
50,Al-Bā'ith,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
51,Al-Shahīd,Kamāl-epistemic,36,36.215,0.6603,1,90,Unstable,0.010889,0.190011,1.4473,5
52,Al-Ḥaqq,Kamāl-ontological,225,223.796,0.6358,27,545,Unstable,0.041475,0.241539,2.0535,22
53,Al-Wakīl,Jamāl,21,20.536,0.6851,0,52,Unstable,0.0,0.136154,1.2217,3
54,Al-Qawī,Jalāl,27,26.7,0.6298,3,67,Unstable,0.007298,0.23884,1.8101,7
55,Al-Matīn,Jalāl,3,3.019,0.5702,0,7,Unstable,9.2e-05,0.177396,1.585,3
56,Al-Walī,Jamāl,42,41.916,0.5841,7,99,Unstable,0.005845,0.227406,2.1406,10
57,Al-Ḥamīd,Kamāl-ontological,30,30.083,0.5743,6,71,Unstable,0.017712,0.242911,2.2281,9
58,Al-Muḥṣī,Kamāl-epistemic,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
59,Al-Mubdi',Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
60,Al-Mu'īd,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
61,Al-Muḥyī,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
62,Al-Mumīt,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
63,Al-Ḥayy,Kamāl-ontological,20,19.674,0.7208,2,53,Unstable,0.005478,0.184278,1.4568,5
64,Al-Qayyūm,Kamāl-ontological,4,4.037,0.7024,0,10,Unstable,0.0,0.145416,1.0,2
65,Al-Wājid,Disputed,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
66,Al-Mājid,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
67,Al-Wāḥid,Kamāl-ontological,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
68,Al-Aḥad,Kamāl-ontological,53,53.064,0.5444,10,117,Unstable,0.048373,0.262285,2.4064,14
69,Al-Ṣamad,Kamāl-ontological,1,0.99,0.9973,0,3,Unstable,0.0,0.175936,0.0,1
70,Al-Qādir,Jalāl,6,6.061,0.7344,0,16,Unstable,0.0,0.138357,0.9183,2
71,Al-Muqtadir,Jalāl,4,3.942,0.6253,0,10,Unstable,0.017005,0.220373,1.5,3
72,Al-Muqaddim,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
73,Al-Mu'akhkhir,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
74,Al-Awwal,Kamāl-ontological,42,41.834,0.4822,11,87,Unstable,0.013137,0.20554,2.7511,12
75,Al-Ākhir,Kamāl-ontological,25,24.937,0.591,3,59,Unstable,0.000997,0.212698,1.8831,6
76,Al-Ẓāhir,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
77,Al-Bāṭin,Jamāl,2,2.0,0.6953,0,5,Unstable,0.000775,0.18751,1.0,2
78,Al-Wālī,Jalāl,49,48.644,0.8103,4,133,Unstable,0.001603,0.221515,1.2293,7
79,Al-Muta'āl,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
