subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
4,Disputed + Jalāl + Jalāl + Jalāl,4edges,244,97.1306,27.111,5.4173,0.0,True
3,Disputed + Jalāl + Jalāl,complete,15,5.8979,1.7743,5.1299,0.0,True
3,Jalāl + Jalāl + Jalāl,complete,11,0.1907,0.4525,23.8893,0.0,True
4,Disputed + Jalāl + Jalāl + Jalāl,complete,11,0.1698,0.4249,25.4868,0.0,True
4,Jalāl + Jalāl + Jalāl + Jalāl,complete,5,0.0004,0.02,250.03,0.0,True
3,Jamāl + Jamāl + Jamāl,2edges,24,6.149,3.6663,4.8689,0.0001,True
4,Jamāl + Jamāl + Jamāl + Jamāl,3edges,42,5.6466,5.7334,6.3407,0.0002,True
4,Jamāl + Jamāl + Jamāl + Jamāl,4edges,10,0.3869,1.0094,9.524,0.0002,True
4,Disputed + Jamāl + Jamāl + Jamāl,5edges,18,5.1341,3.3585,3.8308,0.0026,True
4,Jalāl + Jalāl + Jalāl + Jamāl,4edges,19,3.6636,3.6344,4.2198,0.0033,True
4,Jamāl + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,25,4.3578,4.8814,4.2288,0.0047,True
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,4edges,10,1.7294,2.0573,4.0202,0.0048,True
4,Disputed + Kamāl-ontological + Kamāl-ontological + Kamāl-ontological,4edges,15,5.2552,3.6378,2.6788,0.0049,True
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,complete,1,0.0081,0.0918,10.8004,0.0079,True
4,Jalāl + Jalāl + Jalāl + Jalāl,4edges,6,0.5111,1.2227,4.4893,0.009,True
3,Jamāl + Jamāl + Jamāl,complete,2,0.151,0.3912,4.7271,0.0116,True
3,Disputed + Jamāl + Jamāl,complete,11,6.3377,1.8287,2.5495,0.0117,True
4,Jamāl + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,3edges,59,27.5741,11.9387,2.6323,0.0144,True
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,4edges,24,9.3642,5.6479,2.5914,0.0168,True
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-ontological,3edges,856,718.7259,74.5192,1.8421,0.0181,True
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,4,0.457,0.9281,3.8175,0.0185,True
4,Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,5edges,1,0.0206,0.1561,6.2731,0.0188,True
4,Jalāl + Jalāl + Jalāl + Kamāl-epistemic,4edges,17,5.3099,4.5371,2.5766,0.0239,True
4,Jalāl + Jalāl + Jalāl + Kamāl-epistemic,5edges,3,0.3296,0.7305,3.6558,0.0242,True
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,4edges,3,0.2898,0.726,3.7333,0.0257,True
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic,4edges,139,99.6346,19.7487,1.9933,0.0269,True
3,Disputed + Jalāl + Kamāl-epistemic,2edges,142,126.7452,9.4757,1.6099,0.0326,True
4,Disputed + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,5edges,10,4.1269,2.5722,2.2833,0.0327,True
4,Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological + Kamāl-ontological,3edges,9,2.6153,2.8253,2.2599,0.0439,True
3,Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,2edges,10,4.623,2.7057,1.9873,0.0495,True
3,Disputed + Jalāl + Kamāl-ontological,2edges,143,127.4041,10.8653,1.4354,0.0522,False
4,Disputed + Jamāl + Jamāl + Jamāl,4edges,146,101.3789,27.4942,1.6229,0.055,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,4edges,10,3.2293,3.3425,2.0256,0.0565,False
3,Disputed + Kamāl-epistemic + Kamāl-epistemic,complete,6,3.383,1.3658,1.916,0.0607,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,4edges,50,38.2269,7.5278,1.5639,0.0633,False
4,Jalāl + Jalāl + Jalāl + Kamāl-ontological,4edges,7,1.9833,2.5229,1.9884,0.0647,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic,3edges,1287,1106.3604,121.4806,1.487,0.0653,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic,4edges,127,99.7771,18.3415,1.4842,0.0707,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,21,14.0264,4.5869,1.5203,0.0728,False
4,Disputed + Jalāl + Kamāl-ontological + Kamāl-ontological,4edges,79,54.5242,16.3689,1.4953,0.0748,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic,complete,3,0.9929,1.0426,1.9251,0.0859,False
4,Disputed + Jamāl + Kamāl-ontological + Kamāl-ontological,4edges,77,55.298,15.6937,1.3828,0.091,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic,3edges,2380,2220.1025,133.5829,1.197,0.0925,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,5edges,6,2.5007,2.0891,1.675,0.0958,False
4,Jalāl + Jamāl + Jamāl + Kamāl-ontological,5edges,2,0.4496,0.8476,1.8291,0.1,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,3edges,18,9.3391,6.0974,1.4204,0.1003,False
3,Jamāl + Kamāl-epistemic + Kamāl-epistemic,complete,3,1.0805,1.0787,1.7794,0.101,False
