name_1_serial,name_1_translit,name_2_serial,name_2_translit,raw_frequency,npmi,npmi_ci_lower,npmi_ci_upper,ci_status,hapax_flag
1,Allāh,2,Al-Raḥmān,3,-0.3539,-0.4537,-0.2658,OK,False
1,Allāh,3,Al-Raḥīm,54,-0.0269,-0.0712,0.0137,OK,False
2,Al-Raḥmān,3,Al-Raḥīm,6,0.1887,0.0101,0.312,OK,False
1,Allāh,37,Al-'Alī,420,-0.2182,-0.2428,-0.1923,OK,False
1,Allāh,7,Al-Mu'min,84,-0.0892,-0.1303,-0.0511,OK,False
1,Allāh,52,Al-Ḥaqq,96,-0.1074,-0.1474,-0.0705,OK,False
1,Allāh,63,Al-Ḥayy,11,-0.0196,-0.1057,0.0424,OK,False
20,Al-'Alīm,47,Al-Ḥakīm,27,0.391,0.2982,0.469,OK,False
3,Al-Raḥīm,81,Al-Tawwāb,7,0.5411,0.4243,0.6135,OK,False
37,Al-'Alī,38,Al-Kabīr,8,-0.0429,-0.1611,0.0404,OK,False
13,Al-Bāri',37,Al-'Alī,1,0.0427,-0.0446,0.15,OK,True
13,Al-Bāri',81,Al-Tawwāb,1,0.6529,0.5514,0.8612,OK,True
13,Al-Bāri',3,Al-Raḥīm,1,0.3392,0.2487,0.4925,OK,True
37,Al-'Alī,81,Al-Tawwāb,4,0.0517,-0.0919,0.1417,OK,False
3,Al-Raḥīm,37,Al-'Alī,13,-0.1818,-0.272,-0.1108,OK,False
1,Allāh,74,Al-Awwal,17,-0.2152,-0.2882,-0.1551,OK,False
37,Al-'Alī,52,Al-Ḥaqq,57,-0.087,-0.1401,-0.0388,OK,False
1,Allāh,20,Al-'Alīm,105,0.0336,-0.0008,0.0651,OK,False
37,Al-'Alī,68,Al-Aḥad,14,-0.0818,-0.1713,-0.0101,OK,False
1,Allāh,28,Al-Baṣīr,27,0.0203,-0.0302,0.0641,OK,False
37,Al-'Alī,7,Al-Mu'min,33,-0.1571,-0.2161,-0.1035,OK,False
37,Al-'Alī,4,Al-Malik,15,-0.0789,-0.1648,-0.0089,OK,False
4,Al-Malik,68,Al-Aḥad,1,-0.0353,-0.0706,0.1488,OK,True
1,Allāh,68,Al-Aḥad,18,-0.1436,-0.2168,-0.0824,OK,False
1,Allāh,34,Al-'Aẓīm,30,-0.133,-0.1914,-0.079,OK,False
1,Allāh,56,Al-Walī,20,-0.069,-0.136,-0.0124,OK,False
20,Al-'Alīm,27,Al-Samī',32,0.5836,0.5085,0.6459,OK,False
37,Al-'Alī,9,Al-'Azīz,7,-0.2587,-0.3698,-0.182,OK,False
37,Al-'Alī,47,Al-Ḥakīm,12,-0.1635,-0.2537,-0.0899,OK,False
47,Al-Ḥakīm,9,Al-'Azīz,43,0.6594,0.5818,0.7257,OK,False
1,Allāh,27,Al-Samī',30,0.023,-0.0263,0.0636,OK,False
37,Al-'Alī,56,Al-Walī,7,-0.1404,-0.2614,-0.0538,OK,False
1,Allāh,38,Al-Kabīr,9,-0.1177,-0.2206,-0.0421,OK,False
1,Allāh,105,Al-Shākir,2,0.067,0.0587,0.078,OK,False
105,Al-Shākir,20,Al-'Alīm,1,0.2835,0.1951,0.4312,OK,True
1,Allāh,35,Al-Ghafūr,47,0.0434,0.0033,0.0794,OK,False
3,Al-Raḥīm,35,Al-Ghafūr,50,0.7743,0.7151,0.8259,OK,False
1,Allāh,80,Al-Barr,8,-0.0807,-0.1839,-0.0028,OK,False
52,Al-Ḥaqq,68,Al-Aḥad,2,-0.1166,-0.2133,0.0168,OK,False
27,Al-Samī',37,Al-'Alī,6,-0.1547,-0.2898,-0.068,OK,False
20,Al-'Alīm,37,Al-'Alī,17,-0.2256,-0.301,-0.163,OK,False
37,Al-'Alī,75,Al-Ākhir,10,0.0072,-0.0974,0.0852,OK,False
1,Allāh,75,Al-Ākhir,6,-0.1639,-0.2855,-0.0798,OK,False
1,Allāh,84,Al-Ra'ūf,3,-0.0297,-0.1639,0.0708,OK,False
1,Allāh,9,Al-'Azīz,50,-0.035,-0.084,0.0063,OK,False
1,Allāh,47,Al-Ḥakīm,48,-0.0144,-0.0608,0.026,OK,False
1,Allāh,78,Al-Wālī,31,-0.0226,-0.0771,0.0242,OK,False
1,Allāh,83,Al-'Afūw,3,0.0291,-0.0777,0.0796,OK,False
1,Allāh,33,Al-Ḥalīm,9,0.008,-0.077,0.0674,OK,False
33,Al-Ḥalīm,35,Al-Ghafūr,4,0.3902,0.1734,0.5349,OK,False
32,Al-Khabīr,37,Al-'Alī,3,-0.1979,-0.3205,-0.0926,OK,False
1,Allāh,32,Al-Khabīr,22,0.0169,-0.0375,0.0628,OK,False
