name_1_serial,name_2_serial,observed_count,null_mean,null_std,z_score,p_value,significant_p05
1,2,5,31.9644,3.7151,-7.258,1.0,False
1,3,59,54.4651,4.7711,0.9505,0.1999,False
2,3,6,1.9649,1.376,2.9324,0.0119,True
1,34,47,50.1504,4.5991,-0.685,0.7856,False
1,63,12,14.1125,2.4663,-0.8565,0.8554,False
20,47,27,4.3588,1.9966,11.3401,0.0,True
3,81,7,0.277,0.5199,12.9319,0.0,True
13,3,1,0.1034,0.3161,2.8366,0.0999,False
13,81,1,0.0093,0.096,10.3212,0.0093,True
1,20,109,84.0885,5.9333,4.1986,0.0,True
1,28,29,22.5383,3.0903,2.091,0.0287,True
1,68,31,35.8391,3.8924,-1.2432,0.9134,False
28,68,1,0.9019,0.934,0.105,0.6007,False
1,4,36,39.1816,4.0608,-0.7835,0.8178,False
4,68,1,1.576,1.2283,-0.4689,0.8029,False
1,56,28,25.8611,3.33,0.6423,0.3106,False
20,27,32,2.3482,1.4796,20.0407,0.0,True
1,27,31,24.7869,3.2705,1.8997,0.0387,True
1,38,11,16.3907,2.6747,-2.0154,0.9857,False
3,38,1,1.0127,0.9852,-0.0129,0.6443,False
1,105,2,1.1407,0.6976,1.2317,0.3236,False
105,20,1,0.1076,0.3185,2.8022,0.1049,False
1,35,50,35.864,3.931,3.596,0.0004,True
3,35,50,2.176,1.4269,33.5162,0.0,True
1,80,11,13.0236,2.3673,-0.8548,0.8586,False
1,75,12,15.2738,2.5436,-1.2871,0.9306,False
1,84,4,3.3858,1.2053,0.5096,0.4741,False
1,47,54,46.371,4.4261,1.7236,0.0536,False
1,83,3,2.2595,0.9798,0.7558,0.4137,False
38,83,1,0.0432,0.2062,4.6393,0.0426,True
1,33,10,7.9214,1.838,1.1309,0.1954,False
33,35,4,0.3125,0.5534,6.6634,0.0003,True
1,98,1,0.5723,0.4947,0.8645,0.5723,False
28,98,1,0.0125,0.1111,8.8882,0.0125,True
1,32,25,18.6304,2.8102,2.2666,0.0154,True
20,4,5,3.6669,1.8639,0.7152,0.3025,False
1,64,2,1.7082,0.8665,0.3368,0.6005,False
34,63,1,0.7959,0.867,0.2354,0.5597,False
34,64,1,0.0936,0.3014,3.0073,0.0906,False
63,64,2,0.0298,0.1718,11.4686,0.0003,True
1,94,16,14.7071,2.519,0.5133,0.3825,False
