name_1_serial,name_2_serial,meccan_count,medinan_count,meccan_rate_per_1000v,medinan_rate_per_1000v,observed_differential,differential_p_value,significant_p05
35,48,1,0,0.8865,0.0,-0.8865,0.028,True
4,68,0,1,0.0,0.8953,0.8953,0.3844,False
56,94,0,1,0.0,0.8953,0.8953,0.2299,False
1,69,1,0,0.8865,0.0,-0.8865,0.3649,False
1,13,0,1,0.0,0.8953,0.8953,0.977,False
5,8,0,1,0.0,0.8953,0.8953,0.0032,True
1,24,0,1,0.0,0.8953,0.8953,0.4565,False
20,51,0,1,0.0,0.8953,0.8953,0.4477,False
20,4,2,3,1.773,2.6858,0.9127,0.4416,False
4,94,0,1,0.0,0.8953,0.8953,0.313,False
2,3,4,2,3.5461,1.7905,-1.7556,0.2985,False
1,89,3,10,2.6596,8.9526,6.293,0.0474,True
1,68,5,26,4.4326,23.2766,18.844,0.0079,True
3,38,0,1,0.0,0.8953,0.8953,0.2892,False
1,11,2,1,1.773,0.8953,-0.8778,0.8192,False
16,4,1,0,0.8865,0.0,-0.8865,0.1041,False
51,75,1,0,0.8865,0.0,-0.8865,0.1381,False
33,35,0,4,0.0,3.581,3.581,0.0001,True
1,94,3,13,2.6596,11.6383,8.9787,0.7956,False
28,56,0,1,0.0,0.8953,0.8953,0.2395,False
3,48,1,0,0.8865,0.0,-0.8865,0.0452,True
1,105,0,2,0.0,1.7905,1.7905,0.4993,False
29,47,0,1,0.0,0.8953,0.8953,0.2206,False
13,3,0,1,0.0,0.8953,0.8953,0.1191,False
2,28,1,0,0.8865,0.0,-0.8865,0.3881,False
35,68,0,1,0.0,0.8953,0.8953,0.5432,False
13,14,0,1,0.0,0.8953,0.8953,0.002,True
1,30,6,6,5.3191,5.3715,0.0524,0.9757,False
1,8,0,2,0.0,1.7905,1.7905,0.4989,False
13,81,0,1,0.0,0.8953,0.8953,0.0176,True
20,63,0,1,0.0,0.8953,0.8953,0.3764,False
1,56,12,16,10.6383,14.3241,3.6858,0.2884,False
1,95,2,0,1.773,0.0,-1.773,0.039,True
29,38,1,0,0.8865,0.0,-0.8865,0.2075,False
20,89,0,1,0.0,0.8953,0.8953,0.4511,False
32,75,0,1,0.0,0.8953,0.8953,0.1148,False
20,68,0,3,0.0,2.6858,2.6858,0.2546,False
29,87,0,1,0.0,0.8953,0.8953,0.0187,True
3,68,0,1,0.0,0.8953,0.8953,0.5777,False
11,4,0,1,0.0,0.8953,0.8953,0.0237,True
1,80,5,6,4.4326,5.3715,0.9389,0.7085,False
57,89,2,3,1.773,2.6858,0.9127,0.0014,True
35,4,1,2,0.8865,1.7905,0.904,0.2308,False
35,83,0,2,0.0,1.7905,1.7905,0.0022,True
20,94,0,1,0.0,0.8953,0.8953,0.7121,False
56,89,0,1,0.0,0.8953,0.8953,0.1154,False
3,94,0,1,0.0,0.8953,0.8953,0.5241,False
1,55,1,0,0.8865,0.0,-0.8865,0.7554,False
1,108,2,0,1.773,0.0,-1.773,0.4646,False
1,41,0,1,0.0,0.8953,0.8953,0.7101,False
34,63,0,1,0.0,0.8953,0.8953,0.2413,False
30,38,0,1,0.0,0.8953,0.8953,0.0678,False
32,47,4,0,3.5461,0.0,-3.5461,0.0021,True
10,4,0,1,0.0,0.8953,0.8953,0.0428,True
30,87,0,1,0.0,0.8953,0.8953,0.0249,True
28,32,1,0,0.8865,0.0,-0.8865,0.3472,False
20,30,0,1,0.0,0.8953,0.8953,0.4426,False
3,4,1,2,0.8865,1.7905,0.904,0.3483,False
34,94,0,1,0.0,0.8953,0.8953,0.471,False
1,70,2,0,1.773,0.0,-1.773,0.3028,False
38,68,0,1,0.0,0.8953,0.8953,0.2043,False
1,20,21,88,18.617,78.7825,60.1654,0.0,True
1,49,1,0,0.8865,0.0,-0.8865,0.8379,False
1,44,0,1,0.0,0.8953,0.8953,0.3189,False
20,80,0,1,0.0,0.8953,0.8953,0.3937,False
20,77,0,1,0.0,0.8953,0.8953,0.0743,False
4,8,0,1,0.0,0.8953,0.8953,0.0435,True
31,47,1,0,0.8865,0.0,-0.8865,0.1504,False
1,91,0,1,0.0,0.8953,0.8953,0.7152,False
1,102,1,0,0.8865,0.0,-0.8865,0.3656,False
3,80,1,0,0.8865,0.0,-0.8865,0.4276,False
4,56,2,0,1.773,0.0,-1.773,0.1183,False
4,5,0,2,0.0,1.7905,1.7905,0.0006,True
1,32,6,19,5.3191,17.0098,11.6907,0.023,True
56,75,1,0,0.8865,0.0,-0.8865,0.2918,False
3,35,16,34,14.1844,30.4387,16.2543,0.0,True
1,3,13,46,11.5248,41.1817,29.6569,0.0019,True
38,51,0,1,0.0,0.8953,0.8953,0.0737,False
2,68,1,0,0.8865,0.0,-0.8865,0.5641,False
38,83,0,1,0.0,0.8953,0.8953,0.0238,True
4,75,1,0,0.8865,0.0,-0.8865,0.3971,False
1,14,0,1,0.0,0.8953,0.8953,0.721,False
30,68,0,3,0.0,2.6858,2.6858,0.0015,True
1,5,0,2,0.0,1.7905,1.7905,0.5019,False
108,20,1,0,0.8865,0.0,-0.8865,0.1092,False
30,94,1,0,0.8865,0.0,-0.8865,0.1646,False
31,54,1,0,0.8865,0.0,-0.8865,0.0306,True
1,81,0,4,0.0,3.581,3.581,0.9505,False
1,71,1,0,0.8865,0.0,-0.8865,0.8377,False
1,2,4,1,3.5461,0.8953,-2.6508,1.0,False
1,75,5,7,4.4326,6.2668,1.8342,0.39,False
10,11,1,1,0.8865,0.8953,0.0087,0.0163,True
105,20,0,1,0.0,0.8953,0.8953,0.137,False
1,33,1,9,0.8865,8.0573,7.1708,0.0182,True
47,5,0,1,0.0,0.8953,0.8953,0.0695,False
28,98,0,1,0.0,0.8953,0.8953,0.0203,True
1,84,0,4,0.0,3.581,3.581,0.7558,False
