surah_number,name_1_serial,name_2_serial,occurrence_count,ayahs
2,1,63,5,"28,164,243,243,255"
2,3,81,4,"37,54,128,160"
2,1,20,26,"95,115,115,137,158,181,215,224,227,231,231,244,244,246,247,247,256,261,261,268,268,273,282,282,282,283"
2,1,28,7,"96,110,110,233,233,237,265"
2,1,56,4,"107,120,142,257"
2,20,27,7,"127,137,181,224,227,244,256"
2,1,27,8,"137,181,224,227,244,244,256,256"
2,1,38,4,"143,143,217,282"
2,1,3,11,"143,143,173,182,192,199,199,218,218,218,226"
2,1,35,12,"173,182,192,199,199,218,218,218,225,226,235,235"
2,3,35,6,"173,182,192,199,218,226"
2,1,47,6,"209,220,220,228,240,260"
2,1,33,3,"225,235,263"
2,1,4,5,"247,251,251,251,258"
3,1,28,7,"15,15,20,156,156,163,163"
3,1,35,7,"31,31,31,89,129,155,155"
3,1,3,5,"31,31,31,89,129"
3,3,35,3,"31,89,129"
3,1,20,10,"34,63,73,73,92,115,119,121,154,154"
3,20,27,3,"34,35,121"
3,1,47,3,"62,62,126"
3,1,56,3,"68,122,122"
3,1,34,5,"74,174,174,176,179"
3,1,32,3,"153,180,180"
4,1,20,22,"11,11,12,12,17,17,24,26,35,35,39,39,92,92,104,104,111,148,170,170,176,176"
4,1,3,3,"16,25,96"
4,1,4,3,"24,25,36"
4,1,47,3,"26,104,104"
4,1,53,4,"81,81,132,132"
4,1,89,6,"130,130,131,131,135,135"
5,1,35,10,"3,34,39,39,74,74,98,98,101,101"
5,1,3,8,"3,34,39,39,74,74,98,98"
5,3,35,5,"3,34,39,74,98"
5,1,20,6,"7,7,54,54,76,97"
5,1,29,3,"42,43,43"
6,20,47,3,"83,128,139"
6,1,63,3,"95,95,95"
8,1,47,9,"10,10,49,49,63,67,67,71,71"
8,1,27,4,"17,42,53,61"
8,1,20,9,"17,42,43,53,61,71,71,75,75"
8,20,27,4,"17,42,53,61"
8,1,34,3,"28,29,68"
8,1,28,3,"39,39,72"
8,1,54,3,"52,52,52"
8,1,35,3,"69,69,70"
8,1,3,3,"69,69,70"
9,1,35,9,"5,27,27,91,91,99,99,102,102"
9,1,3,10,"5,27,27,91,99,99,102,102,104,118"
9,3,35,5,"5,27,91,99,102"
9,1,68,3,"6,52,127"
9,1,20,18,"15,15,28,28,44,44,47,60,60,60,97,97,98,103,106,106,110,115"
9,1,47,17,"15,15,28,28,40,40,60,60,60,71,71,71,97,97,106,106,110"
9,20,47,6,"15,28,60,97,106,110"
12,20,47,3,"6,83,100"
16,1,3,3,"18,18,115"
22,1,54,5,"40,40,40,74,74"
22,1,20,4,"52,52,52,59"
22,1,27,3,"61,75,75"
24,1,35,6,"5,22,22,33,62,62"
24,1,3,8,"5,20,20,22,22,33,62,62"
24,3,35,4,"5,22,33,62"
24,1,68,4,"6,21,21,21"
24,1,47,8,"10,10,18,18,58,58,59,59"
24,1,20,16,"18,18,21,21,28,32,32,35,35,41,58,58,59,59,60,64"
24,20,47,3,"18,58,59"
24,1,27,3,"21,21,60"
24,1,94,5,"35,35,35,35,40"
29,1,27,3,"5,5,60"
29,1,20,4,"5,5,60,62"
31,1,47,3,"9,27,27"
31,1,57,3,"12,26,26"
31,1,32,4,"16,16,29,34"
33,1,20,4,"1,1,51,51"
33,1,68,5,"39,39,39,40,40"
33,1,4,5,"50,50,52,55,55"
40,1,4,3,"16,16,29"
40,1,28,4,"20,44,44,56"
42,1,56,3,"9,31,44"
49,1,27,3,"1,1,1"
49,1,20,8,"1,1,1,8,8,13,13,16"
49,1,35,3,"5,14,14"
49,1,3,4,"5,12,12,14"
57,1,34,4,"21,21,29,29"
58,1,27,3,"1,1,1"
58,1,28,3,"1,1,1"
58,1,32,4,"3,11,13,13"
60,1,35,4,"7,7,12,12"
60,1,3,4,"7,7,12,12"
64,1,20,3,"4,11,11"
