surah_number,ayah_number,meccan_medinan,name_serial,name_translit,position_in_verse
1,1,Meccan,1,Allāh,1
1,2,Meccan,1,Allāh,1
2,7,Medinan,1,Allāh,1
2,8,Medinan,1,Allāh,5
2,9,Medinan,1,Allāh,1
2,10,Medinan,1,Allāh,4
2,15,Medinan,1,Allāh,0
2,17,Medinan,1,Allāh,10
2,19,Medinan,1,Allāh,17
2,20,Medinan,1,Allāh,17
2,20,Medinan,1,Allāh,23
2,22,Medinan,1,Allāh,20
2,23,Medinan,1,Allāh,16
2,26,Medinan,1,Allāh,2
2,26,Medinan,52,Al-Ḥaqq,18
2,26,Medinan,1,Allāh,28
2,27,Medinan,1,Allāh,3
2,27,Medinan,1,Allāh,10
2,28,Medinan,1,Allāh,2
2,42,Medinan,52,Al-Ḥaqq,2
2,42,Medinan,52,Al-Ḥaqq,5
2,55,Medinan,1,Allāh,8
2,60,Medinan,1,Allāh,26
2,61,Medinan,1,Allāh,46
2,61,Medinan,1,Allāh,53
2,61,Medinan,52,Al-Ḥaqq,57
2,62,Medinan,1,Allāh,9
2,64,Medinan,1,Allāh,8
2,67,Medinan,1,Allāh,5
2,67,Medinan,1,Allāh,17
2,70,Medinan,1,Allāh,15
2,72,Medinan,1,Allāh,6
2,73,Medinan,1,Allāh,6
2,74,Medinan,1,Allāh,34
2,74,Medinan,1,Allāh,37
2,75,Medinan,1,Allāh,11
2,76,Medinan,1,Allāh,15
2,77,Medinan,1,Allāh,3
2,79,Medinan,1,Allāh,10
2,80,Medinan,1,Allāh,11
2,80,Medinan,1,Allāh,15
2,80,Medinan,1,Allāh,21
2,83,Medinan,1,Allāh,8
2,85,Medinan,1,Allāh,49
2,88,Medinan,1,Allāh,6
2,89,Medinan,1,Allāh,5
2,89,Medinan,1,Allāh,24
2,90,Medinan,1,Allāh,8
2,90,Medinan,1,Allāh,12
2,91,Medinan,1,Allāh,6
2,91,Medinan,52,Al-Ḥaqq,16
2,91,Medinan,1,Allāh,25
2,94,Medinan,1,Allāh,7
2,95,Medinan,1,Allāh,7
2,96,Medinan,1,Allāh,23
2,97,Medinan,1,Allāh,10
2,98,Medinan,1,Allāh,3
2,98,Medinan,1,Allāh,9
2,101,Medinan,1,Allāh,5
2,101,Medinan,1,Allāh,16
2,102,Medinan,1,Allāh,54
2,103,Medinan,1,Allāh,7
2,105,Medinan,1,Allāh,17
2,105,Medinan,1,Allāh,23
2,106,Medinan,1,Allāh,16
2,107,Medinan,1,Allāh,3
2,107,Medinan,1,Allāh,13
2,109,Medinan,52,Al-Ḥaqq,20
2,109,Medinan,1,Allāh,26
2,109,Medinan,1,Allāh,30
2,110,Medinan,1,Allāh,12
2,110,Medinan,1,Allāh,15
2,112,Medinan,1,Allāh,4
2,113,Medinan,1,Allāh,24
2,114,Medinan,1,Allāh,5
2,115,Medinan,1,Allāh,0
2,115,Medinan,1,Allāh,8
2,115,Medinan,1,Allāh,11
2,116,Medinan,1,Allāh,2
2,118,Medinan,1,Allāh,6
2,120,Medinan,1,Allāh,13
2,120,Medinan,1,Allāh,29
2,126,Medinan,1,Allāh,15
2,132,Medinan,1,Allāh,7
2,136,Medinan,1,Allāh,2
2,137,Medinan,1,Allāh,17
2,138,Medinan,1,Allāh,1
2,138,Medinan,1,Allāh,6
2,139,Medinan,1,Allāh,3
2,140,Medinan,1,Allāh,17
2,140,Medinan,1,Allāh,26
2,140,Medinan,1,Allāh,29
2,142,Medinan,1,Allāh,14
2,143,Medinan,1,Allāh,36
